BICAN Field Name,BICAN UUID,Description,NIMP Variable Name,NHash ID,Aliases,LinkML Class,LinkML Slot Name,Data Type,Permissible Values,Statistical Variable Type,Nullable,Min Value,Max Value,Unit,Subsets,NIMP Resource Subgroup,NIMP Display Name
aliquot alignment job ID,7ab5aa8f-297a-4471-9ddd-291a3bbbce0c,Library Aliquot Alignment QC Job ID,aliquot_alignment_job_id,PD-MVIZFB34,,Library Aliquot,,text,,categorical variable,TRUE,,,,,Sequencing Outcome,Library Aliquot Alignment QC Job ID
library aliquot QC last updated date,61a19053-9b68-43b5-ab8c-3d620f3233b7,Library Aliquot QC last updated date,library_aliquot_qc_last_updated,PD-URJANM35,,Library Aliquot,,date,,ordinal variable,TRUE,,,,,Sequencing Outcome,Library Aliquot QC Last Updated Date
aliquot alignment QC uploaded date,c0509f07-e68a-49cf-90a4-19be987302ff,Library Aliquot alignment QC uploaded date,aliquot_alignment_qc_uploaded,PD-CBCBBY24,,Library Aliquot,,date,,ordinal variable,TRUE,,,,,Sequencing Outcome,Aliquot Alignment QC Uploaded Date
aliquot QC total reads,33a3e1e3-9fc1-45bd-95ee-6649d64dbfbe,Library Aliquot QC total reads,aliquot_qc_total_reads,PD-QXXAKR49,,Library Aliquot,,integer,,continuous variable,TRUE,,,,,Sequencing Outcome,Library Aliquot QC Total Reads
library pool NHash ID,9dfdce26-643a-4e1d-8d47-8f418628c893,NIMP generated globally unique identifier for a Library Pool,library_pool_nhash_id,PD-LAQLFB34,,Library Pool,,text,,categorical variable,FALSE,,,,,Identification,Library Pool NHash ID
library pool tube barcode,da02a0ee-9abf-45ef-abb1-981f1aaba6b2,Library Pool tube name as provided by the SeqCore (often a barcode). This tube is provided from the SeqCore and is part of the SeqCore tracking system.,library_pool_tube_barcode,PD-KNKNCC35,SeqCore library pool tube barcode,Library Pool,barcode,text,,categorical variable,TRUE,,,,analysis; tracking,Preparation,Library Pool Tube Barcode
flowcell,4c8d7ac8-d3e3-4177-a93d-18ec2302c392,The Flowcell is a unique identifer of the sequencing cartridge (provided by the sequencing instrument manufacturer) used and consumed when sequencing Library Pools on an Illumina sequencing instrument.  A flowcell can be different sizes with different number of lanes.  The flowcell size determines the number of total reads it will produce.  Typically one Flowcell is used to run one Library Pool across all lanes.  Multiple pools can be run on a single flowcell as long as the pools are partitioned onto separate lanes of the flowcell.  Each lane from a flowcell will produce fastq files for all Library Aliquots within the Library Pool applied to a given lane.,flowcell,PD-MOMODO36,,Library Pool,,text,,categorical variable,TRUE,,,,,Sequencing Outcome,Flowcell
library pool alignment status,1b163e8d-fb02-4f95-be76-f72f8fae0a04,Whether the Library Pool is approved for alignment or not,library_pool_alignment_status,PD-QRQRLO49,,Library Pool,,categorical,Yes,categorical variable,TRUE,,,,,Sequencing Outcome,Library Pool Alignment Status
library pool sequencing instrument,26b2d0c6-6e01-4238-8992-e138a8d9970c,Library Pool Sequencing Instrument,library_pool_sequencing_instrument,PD-LELEPG50,,Library Pool,,categorical,Yes,categorical variable,TRUE,,,,,Sequencing Outcome,Library Pool Sequencing Instrument
library pool flowcell type,4b17b73a-ab3c-46c2-81ff-d32da499bccd,Library Pool Flowcell Type,library_pool_flowcell_type,PD-UXUXCN35,,Library Pool,,categorical,Yes,categorical variable,TRUE,,,,,Sequencing Outcome,Library Pool Flowcell Type
library pool fastq submission ID,a314a71c-d68a-4da0-9829-0d64c5087b89,Library Pool FASTQ Submission ID,library_pool_fastq_submission_id,PD-GXGXFB34,,Library Pool,,text,,categorical variable,TRUE,,,,,Sequencing Outcome,Library Pool FASTQ Submission ID
library pool projects,b13d9d14-d825-4b50-b20f-716c88ae03ee,Library Pool Projects,library_pool_projects,PD-MOMOLO49,,Library Pool,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Library Pool Projects
library pool labs,24b59a2a-d841-48b3-b251-4e6210417c4a,Library Pool Labs,library_pool_labs,PD-XOXOLO49,,Library Pool,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Library Pool Labs
NeMO pool bucket,eb042898-2e7a-49d8-8378-6fe87aceb80c,Nemo Pool Bucket,nemo_pool_bucket,PD-EYEYPI37,,Library Pool,,text,,categorical variable,TRUE,,,,,Sequencing Outcome,Nemo Pool Bucket
sequencing center ID,ea95bdad-a450-464f-ac5f-b707be243342,NIMP id for the Sequencing Center this Library Package will be sent to.,sequencing_center_id,PD-ZVNXTM45,,Library Package,,categorical,Yes,categorical variable,FALSE,,,,,Preparation,ID of the Target Sequencing Center
