BICAN Field Name,BICAN UUID,Aliases,Definition,Dev. Human,Dev. NHP,Dev. Tissue,Donor,Library,Macaque Donor and Tissue,Marmoset,Donor-to-Alignment
age_at_date_of_collection,6c53ac16-fe2d-48d7-b3d4-b8946b5d2547,age_at_date_of_collection,The age of the donor at the date of tissue collection (years). ,,,,x,,,,
clinical_brain_diagnosis,b49f026b-4f6c-48c8-b170-bf6d24c672ef,clinical_brain_diagnosis,The status (available/unavailable) of the clinical brain diagnosis of the donor.,,,,x,,,,
clinical_brain_diagnosis_code,b7a34c73-ae08-43d3-80d2-d5ef8436e449,clinical_brain_diagnosis_code,The code of the donor's clinical brain diagnosis. ,,,,x,,,,
clinical_brain_diagnosis_confidence_level,2e72b4b9-d5fb-4f0d-897c-1f977ed4fabd,clinical_brain_diagnosis_confidence_level,The confidence level of the donor's clinical brain diagnosis.,,,,x,,,,
genetic_diagnosis,f67d3837-159d-4868-9749-aa6c83ded7eb,genetic_diagnosis,"The status (available, unavailable) of the genetic diagnosis of the donor.",,,,x,,,,
genetic_diagnosis_code,7a7916e0-ff79-4426-b49f-58e2f2a8a367,genetic_diagnosis_code,The code of the donor's genetic diagnosis. ,,,,x,,,,
genetic_diagnosis_confidence_level,cb2b0108-8c07-40e8-92a3-b693b6dc64b4,genetic_diagnosis_confidence_level,The confidence level of the donor's genetic diagnosis.,,,,x,,,,
non_brain_diagnosis,009ec58e-32e4-4712-930c-056e72c8d8fa,non_brain_diagnosis,"The status (available, unavailable) of a non-brain diagnosis of the donor.",,,,x,,,,
non_brain_diagnosis_code,65e8824e-01d2-44cf-9f47-9962461a65c9,non_brain_diagnosis_code,The code of the donor's non-brain diagnosis.,,,,x,,,,
non_brain_diagnosis_confidence_level,2a7ff937-287b-40a3-a1f6-ebf598683774,non_brain_diagnosis_confidence_level,The confidence level of the donor's non-brain diagnosis.,,,,x,,,,
apgar_5_minute_score_available,e67d93ac-3753-4835-a250-e2ca207b2675,apgar_5_minute_score_available,"The status (available, unavailable) of a five-minute APGAR score of the donor.",,,,x,,,,
apgar_5_minute_score,3a10dabf-39b0-4eb7-8399-85fd325c5646,apgar_5_minute_score,The score of the donor's five-minute APGAR.,,,,x,,,,
apgar_10_minute_score_available,3d085ff9-7034-487d-a2b2-b9ae80d55333,apgar_10_minute_score_available,"The status (available, unavailable) of a ten-minute APGAR score of the donor.",,,,x,,,,
apgar_10_minute_score,09d512b6-7c20-4693-8894-77824ad7f04d,apgar_10_minute_score,The score of the donor's ten-minute APGAR.,,,,x,,,,
perinatal_neurologic_event_type,cb4c7e3b-73fc-400e-a4c3-b149a5544363,perinatal_neurologic_event_type,The perinatal neurologic event of a donor.,,,,x,,,,
perinatal_neurologic_event_type_specify,1bf1f9c5-79a6-4203-910f-cad79fe9cac9,perinatal_neurologic_event_type_specify,The specific perinatal neurologic event of a donor.,,,,x,,,,
family_history_available,c88bf4dc-5a7c-4f70-a773-e6bbb5a12ec9,family_history_available,"The status (available, unavailable) of the family history of the subject/donor.",,,,x,,,x,
relative_type,1adef34c-bb96-4dd0-bc87-51868f2ddc3f,relative_type,The familial relation to the subject/donor.,,,,x,,,x,
relative_type_specify,094064a1-362c-4b75-8556-6b874c843fdb,relative_type_specify,The specific familial relation to the subject/donor.,,,,x,,,x,
condition_type,030c8275-04c0-4e4f-9f68-48fd0f559250,condition_type,A condition of the donor. ,,,,x,,,,
condition_type_specify,a1ed23dc-3cd5-41c8-87f6-58604fc66a70,condition_type_specify,A specific type of condition of a donor.,,,,x,,,,
test_name,b6865e15-7538-4890-be99-a6f9e9920af3,test_name,The name of the test that has been performed. ,,,,x,,x,,
test_result,c14ea006-662c-4666-bfd1-6ff580c403ed,test_result,The result(s) of the test that has been performed.,,,,x,,x,,
tissue_source,42f8e11b-d9a3-48fe-ac1e-cd6f4469de46,tissue_source,The tissue sample location or identifier that is the subject of a test. ,,,,x,,x,,
drugs_found,e35b53f1-0daa-4b5b-9246-cfba52f61bfb,drugs_found,A list of drugs found present in a donor.,,,,x,,,,
drugs_found_specify,ec3f7c47-9062-4b66-ba80-a9355a388bc0,drugs_found_specify,A list of specific drugs found present in a donor.,,,,x,,,,
toxicology_result,2cf1a1af-1ece-4ef7-b513-e4d1949f237c,toxicology_result,The toxicology result of the donor.,,,,x,,,,
toxicology_report_level,594179b0-c744-40a4-958d-fc81461b4b74,toxicology_report_level,The report level of the toxicology result of the donor. ,,,,x,,,,
toxicology_units,6f124149-50de-489d-b9e2-f198b2b9857d,toxicology_units,The units of the report level of the toxicology result of the donor.,,,,x,,,,
artifacts,b344b605-21dd-4e06-9104-21005179026f,artifacts,The neuropathology artifacts available for a donor. ,,,,x,,,,
artifacts_type,dc217b9b-ed6b-48e2-93b4-4f648dc395f7,artifacts_type,The type of neuropathology artifacts available for a donor.,,,,x,,,,
artifacts_type_specify,ae11485d-dfc6-45fe-9d22-1d0bf7244d7c,artifacts_type_specify,The specific types of neuropathology artifacts available for a donor.,,,,x,,,,
neuropathology_diagnosis,87f6d251-e028-4480-9272-3497655fb9cd,neuropathology_diagnosis,The neuropathology diagnosis of a donor.,,,,x,,,,
neuropathology_diagnosis_code,784e9cc1-7258-4535-a6d5-f7f9a4c2da4b,neuropathology_diagnosis_code,The code of the donor's neuropathology diagnosis.,,,,x,,,,
