BICAN label,BICAN UUID,Aliases,Code,Description,Ontology ID
mic,0edacb00-3d7c-488f-be6d-2ef0801125c2,,,Mi'kmaq; Micmac,
min,2e518f1b-841f-441b-b3b0-6f8a1c9e1cd9,,,Minangkabau,
mis,a55dcecd-8ca9-4821-8fff-d0cde40a58c1,,,Uncoded languages,
mac (B),66e35398-d92c-45fc-bae3-e43dce32c3a0,,,Macedonian,
mkd (T),625936a8-4c9a-455d-8864-97733c681f0d,,,,
mkh,1eff88f3-e481-41cd-bd45-f39ee846ca1f,,,Mon-Khmer languages,
mlg,2b5f7fca-885a-4847-8c6b-c3f7e848d0e6,,,Malagasy,
mlt,7610a5d1-de56-411d-911a-851889cc7a11,,,Maltese,
mnc,e077d884-305f-4714-a7e4-3379e0f02944,,,Manchu,
mni,51dad339-bae1-4d1e-8fb3-8887067c873d,,,Manipuri,
mno,5a32c932-19f5-422c-aaa3-af21c8e73d97,,,Manobo languages,
moh,b84ab66b-bef3-4be5-b219-d561a725b1e6,,,Mohawk,
mon,db007f9a-7995-4e52-be32-c9ad6018a99f,,,Mongolian,
mos,e29de135-43ba-4ec4-83e8-fe56db4b24b1,,,Mossi,
mao (B),6381d273-4a78-4628-b1cd-7a69c24fc810,,,Maori,
mri (T),fd8c037a-6865-4a6d-8237-e83f82759622,,,,
may (B),184edfd7-adcf-47a4-90af-227d71855497,,,Malay,
msa (T),da13a2d3-f6a1-4ecf-bfa5-6971404ddf63,,,,
mul,9b77be28-16f5-4db8-a8e9-acb608165c9e,,,Multiple languages,
mun,3071980b-d7ec-4769-96e5-17844f1c2174,,,Munda languages,
mus,73964856-7177-46b1-93bb-df72f2907cc0,,,Creek,
mwl,24982a0a-f4e0-4241-9887-a7aa2794bc69,,,Mirandese,
mwr,679a5f8f-7ff6-41de-a7a6-7aa23c1dca22,,,Marwari,
bur (B),c43ed706-eb98-43a7-b413-b65d44c2c2d3,,,Burmese,
mya (T),7a352cd3-a295-4fdc-a372-51a9da2fceb5,,,,
myn,8881b2e5-6461-4f94-b6e3-36cb8b3c12de,,,Mayan languages,
myv,305ec46f-1469-4195-b03f-0c8320638470,,,Erzya,
nah,5094d599-ee63-4e91-8165-c5a76f131cee,,,Nahuatl languages,
nai,d19e0c99-c6c2-4652-b4e9-5117f59f84b9,,,North American Indian languages,
